device_id;start_time;identity;ips;providers;network;city;country;email
Device1;2024-03-31 21:25:45;Company1;141.98.252.233, 146.70.188.227;31173 Services AB, M247 Europe;141.98.252.0/24, 146.70.160.0/19;Greenwich, Sofia;GB, BG;EMAIL1
Device1;2024-04-01 11:44:52;Company1;146.70.188.164, 146.70.188.227, 146.70.188.30;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device1;2024-04-01 17:12:30;Company1;146.70.188.148;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device2;2024-04-01 17:50:58;Company2;192.168.0.1;-;192.168.0.0 / 19;-;-;EMAIL2
Device1;2024-04-01 18:05:09;Company1;146.70.188.211;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device2;2024-04-01 18:55:03;Company2;146.70.188.211;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL2
Device2;2024-04-01 21:55:03;Company2;146.70.188.211;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL2
Device1;2024-04-02 8:27:55;Company1;146.70.188.211;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device1;2024-04-02 12:32:11;Company1;146.70.188.211;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device1;2024-04-03 14:22:18;Company1;146.70.188.211;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device1;2024-04-04 9:20:40;Company1;185.195.232.154;31173 Services AB;185.195.232.0/23;Shoreditch;GB;EMAIL1
Device1;2024-04-04 11:51:47;Company1;146.70.119.171;M247 Europe;146.70.96.0/19;Canary Wharf;GB;EMAIL1
Device1;2024-04-04 17:04:25;Company1;146.70.119.171;M247 Europe;146.70.96.0/19;Canary Wharf;GB;EMAIL1
Device2;2024-04-05 10:30:58;Company2;146.70.124.139;M247 Europe;146.70.96.0/19;Bucharest;RO;EMAIL2
Device1;2024-04-05 11:37:55;Company2;146.70.124.139;M247 Europe;146.70.96.0/19;Bucharest;RO;EMAIL2
Device1;2024-04-05 15:44:24;Company1;146.70.124.139;M247 Europe;146.70.96.0/19;Bucharest;RO;EMAIL1
Device1;2024-04-05 19:55:02;Company1;138.199.34.134;Datacamp;138.199.34.0/23;Bratislava;SK;EMAIL1
Device3;2024-04-06 13:44:20;Company2;149.62.209.47;Yettel BG;149.62.192.0/19;Sofia;BG;EMAIL2
Device1;2024-04-06 14:07:41;Company1;146.70.188.211;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device1;2024-04-06 14:50:55;Company1;146.70.188.148;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device1;2024-04-08 7:11:16;Company1;146.70.188.148;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device1;2024-04-08 11:47:38;Company1;45.128.38.235;M247 Europe;45.128.36.0/22;Warsaw;PL;EMAIL1
Device1;2024-04-08 14:35:58;Company1;193.32.249.161;31173 Services AB;193.32.248.0/23;Amsterdam;NL;EMAIL1
Device1;2024-04-09 8:59:22;Company1;194.127.199.72;Blix Solutions AS;194.127.198.0/23;Oslo;NO;EMAIL1
Device1;2024-04-09 9:58:14;Company1;194.127.199.72;Blix Solutions AS;194.127.198.0/23;Oslo;NO;EMAIL1
Device1;2024-04-09 10:13:19;Company1;194.127.199.72;Blix Solutions AS;194.127.198.0/23;Oslo;NO;EMAIL1
Device1;2024-04-09 21:10:47;Company1;194.127.199.41;Blix Solutions AS;194.127.198.0/23;Oslo;NO;EMAIL1
Device1;2024-04-10 8:20:59;Company1;178.255.149.132;Blix Solutions;178.255.144.0/21;Oslo;NO;EMAIL1
Device1;2024-04-11 12:43:24;Company1;146.70.188.25, 185.195.232.134;M247 Europe, 31173 Services AB;146.70.160.0/19, 185.195.232.0/23;Sofia, Shoreditch;BG, GB;EMAIL1
Device1;2024-04-11 17:02:25;Company1;185.248.85.53;xTom;185.248.85.0/24;London;GB;EMAIL1
Device1;2024-04-12 17:32:04;Company1;146.70.188.213;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device1;2024-04-16 15:49:16;Company1;146.70.188.200;M247 Europe;146.70.160.0/19;Sofia;BG;EMAIL1
Device3;2024-04-22 18:44:49;Company2;149.62.207.4;Yettel BG;149.62.192.0/19;Sofia;BG;EMAIL2
Device3;2024-04-22 21:12:44;Company2;149.62.207.4;Yettel BG;149.62.192.0/19;Sofia;BG;EMAIL2
Device1;2024-04-29 10:01:59;Company1;141.98.252.231;31173 Services AB;141.98.252.0/24;Greenwich;GB;EMAIL1
Device1;2024-04-29 13:58:29;Company1;185.195.232.166;31173 Services AB;185.195.232.0/23;Whitechapel;GB;EMAIL1
Device1;2024-05-09 9:41:03;Company1;89.25.116.187;Cooolbox AD;89.25.116.0/23;Botevgrad;BG;EMAIL1
